Senario Name,Test Name,Browser Name,Os Name,Test Status,Test Data Row,Link to Screen Shot,Error Log,Test Type
RallyhoodtestcasesEdge,RallyhoodTC_08,edge,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_08_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
RallyhoodtestcasesEdge,RallyhoodTC_09,edge,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_09_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_01,firefox,WIN10,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_08,chrome,WIN10,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesEdge,RallyhoodTC_13,edge,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_13_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
RallyhoodtestcasesEdge,RallyhoodTC_15,edge,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_15_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_02,firefox,WIN10,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_09,chrome,WIN10,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesEdge,RallyhoodTC_17,edge,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_17_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_03,firefox,WIN10,Pass,RH1,NA,"NA",Smoke
Rallyhoodtestcases,RallyhoodTC_03,firefox,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_20_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
RallyhoodtestcasesEdge,RallyhoodTC_21,edge,WIN10,Fail,RH1,file://D:/Rallyhood/ScreenShots/RallyhoodtestcasesEdge_RallyhoodTC_21_WIN10_edge.png,"java.lang.AssertionError: Test case failed due to exception Element is obscured (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-717'  ip: '192.168.205.138'  os.name: 'Windows 10'  os.arch: 'amd64'  os.version: '10.0'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.edge.EdgeDriver Capabilities [{applicationCacheEnabled=true  pageLoadStrategy=normal  platform=WINDOWS  acceptSslCerts=true  browserVersion=38.14393.0.0  platformVersion=10  locationContextEnabled=true  webStorageEnabled=true  browserName=MicrosoftEdge  takesScreenshot=true  takesElementScreenshot=true  javascriptEnabled=true  platformName=WINDOWS}] Session ID: DB9AC939-5E36-47D9-827F-AECC769FED1D expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_05,firefox,WIN10,Pass,RH1,NA,"NA",Smoke
